LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.09479105946406578
Amygdala;DICE;STD;0.01414574591516376
Amygdala;HDRFDST;MEAN;64.93974151382905
Amygdala;HDRFDST;STD;1.039217069273152
GreyMatter;DICE;MEAN;0.6406662502954645
GreyMatter;DICE;STD;0.023515322707166397
GreyMatter;HDRFDST;MEAN;5.511787687364917
GreyMatter;HDRFDST;STD;1.081756206089201
Hippocampus;DICE;MEAN;0.09001460287810566
Hippocampus;DICE;STD;0.009441293049452537
Hippocampus;HDRFDST;MEAN;61.688346004196376
Hippocampus;HDRFDST;STD;1.0714323434296167
Thalamus;DICE;MEAN;0.5313606774081169
Thalamus;DICE;STD;0.020076049337731675
Thalamus;HDRFDST;MEAN;23.754897736507015
Thalamus;HDRFDST;STD;7.131257499774765
WhiteMatter;DICE;MEAN;0.7120842756309662
WhiteMatter;DICE;STD;0.038325146455586934
WhiteMatter;HDRFDST;MEAN;8.661695820995636
WhiteMatter;HDRFDST;STD;4.972426520779038
