LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.09616883739366336
Amygdala;DICE;STD;0.013260356245370022
Amygdala;HDRFDST;MEAN;65.20304527649554
Amygdala;HDRFDST;STD;0.9554510302838728
GreyMatter;DICE;MEAN;0.641508789425872
GreyMatter;DICE;STD;0.02717964647835384
GreyMatter;HDRFDST;MEAN;6.885803132220954
GreyMatter;HDRFDST;STD;0.9673237432711378
Hippocampus;DICE;MEAN;0.0855097775617987
Hippocampus;DICE;STD;0.00939625147811579
Hippocampus;HDRFDST;MEAN;62.01026171923293
Hippocampus;HDRFDST;STD;1.0136278963381247
Thalamus;DICE;MEAN;0.530230535859257
Thalamus;DICE;STD;0.021661650384776385
Thalamus;HDRFDST;MEAN;32.08819867082359
Thalamus;HDRFDST;STD;9.692652168614918
WhiteMatter;DICE;MEAN;0.692102000411431
WhiteMatter;DICE;STD;0.043080710340449704
WhiteMatter;HDRFDST;MEAN;8.66216364718394
WhiteMatter;HDRFDST;STD;4.297315551528073
