LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.1075203590862166
Amygdala;DICE;STD;0.015356433889040939
Amygdala;HDRFDST;MEAN;64.20682554897266
Amygdala;HDRFDST;STD;1.1106542773485129
GreyMatter;DICE;MEAN;0.6345215299144147
GreyMatter;DICE;STD;0.021635054353795074
GreyMatter;HDRFDST;MEAN;6.814600235050977
GreyMatter;HDRFDST;STD;1.2088108356741194
Hippocampus;DICE;MEAN;0.07278855085521294
Hippocampus;DICE;STD;0.00761357507201278
Hippocampus;HDRFDST;MEAN;61.582288457336325
Hippocampus;HDRFDST;STD;1.1496731524310768
Thalamus;DICE;MEAN;0.5317901534651869
Thalamus;DICE;STD;0.022178657023394627
Thalamus;HDRFDST;MEAN;33.45070619334952
Thalamus;HDRFDST;STD;9.07470413656602
WhiteMatter;DICE;MEAN;0.7111092555504529
WhiteMatter;DICE;STD;0.036938729673340095
WhiteMatter;HDRFDST;MEAN;9.470516694604834
WhiteMatter;HDRFDST;STD;4.388543441417792
