LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.10451148039897742
Amygdala;DICE;STD;0.015042238972283236
Amygdala;HDRFDST;MEAN;64.291395170185
Amygdala;HDRFDST;STD;1.1029537937341183
GreyMatter;DICE;MEAN;0.638016857582284
GreyMatter;DICE;STD;0.023947121165384777
GreyMatter;HDRFDST;MEAN;7.230842648791386
GreyMatter;HDRFDST;STD;0.8745939563131833
Hippocampus;DICE;MEAN;0.07888954797529486
Hippocampus;DICE;STD;0.007938883783477197
Hippocampus;HDRFDST;MEAN;61.787484191785026
Hippocampus;HDRFDST;STD;1.0755450943190974
Thalamus;DICE;MEAN;0.5314052744385012
Thalamus;DICE;STD;0.02004654218728542
Thalamus;HDRFDST;MEAN;23.4037739106846
Thalamus;HDRFDST;STD;7.1703114812090885
WhiteMatter;DICE;MEAN;0.6954072650274356
WhiteMatter;DICE;STD;0.03959773276190231
WhiteMatter;HDRFDST;MEAN;8.712954888934139
WhiteMatter;HDRFDST;STD;3.9917937200459996
