feature_index,feature_name,MI_score
2,ATLAS_COORD_Z,0.7651463822940492
0,ATLAS_COORD_X,0.5554165231878208
1,ATLAS_COORD_Y,0.5551550951721764
3,T1_INTENSITY,0.5464395331527463
4,T2_INTENSITY,0.5190696588563171
6,T2_GRADIENT,0.34104372110674364
5,T1_GRADIENT,0.3053009331724099
10,T1_RADIOMICS_first_order_Skewness,0.004927203990817919
7,T1_RADIOMICS_first_order_Mean,0.004245690913924349
14,T2_RADIOMICS_first_order_Mean,0.004164416645743074
17,T2_RADIOMICS_first_order_Skewness,0.0038434146083496934
19,T2_RADIOMICS_first_order_Energy,0.0036355712561908504
9,T1_RADIOMICS_first_order_Variance,0.003569491641185696
12,T1_RADIOMICS_first_order_Energy,0.00338317491877671
13,T1_RADIOMICS_first_order_Entropy,0.0033081514317618854
18,T2_RADIOMICS_first_order_Kurtosis,0.00309745428218422
20,T2_RADIOMICS_first_order_Entropy,0.002892752992654568
8,T1_RADIOMICS_first_order_Median,0.0027761563627981545
15,T2_RADIOMICS_first_order_Median,0.0026706377950684868
16,T2_RADIOMICS_first_order_Variance,0.002304556798092605
11,T1_RADIOMICS_first_order_Kurtosis,0.0021959758010772212
