feature_index,feature_name,MI_score
2,ATLAS_COORD_Z,0.7660396369270626
1,ATLAS_COORD_Y,0.5557433310310407
0,ATLAS_COORD_X,0.5539752791755368
3,T1_INTENSITY,0.546110342272579
4,T2_INTENSITY,0.5196127248437663
6,T2_GRADIENT,0.34122194112855464
5,T1_GRADIENT,0.30517064959676654
7,T1_RADIOMICS_glcm_Contrast,0.005984326551359942
8,T1_RADIOMICS_glcm_Correlation,0.0044921136107451964
14,T1_RADIOMICS_glcm_ClusterShade,0.004403038939641668
13,T1_RADIOMICS_glcm_ClusterProminence,0.0043185605927646975
22,T2_RADIOMICS_glcm_ClusterProminence,0.00430811047739077
24,T2_RADIOMICS_glcm_DifferenceVariance,0.004140424677262278
15,T1_RADIOMICS_glcm_DifferenceVariance,0.0041388768882519855
21,T2_RADIOMICS_glcm_Autocorrelation,0.0040930128029836865
19,T2_RADIOMICS_glcm_JointEntropy,0.003893686818627007
11,T1_RADIOMICS_glcm_JointEnergy,0.003733231371307877
9,T1_RADIOMICS_glcm_Idm,0.003347698141784594
17,T2_RADIOMICS_glcm_Correlation,0.0032811310952709505
18,T2_RADIOMICS_glcm_Idm,0.003153787946716058
12,T1_RADIOMICS_glcm_Autocorrelation,0.0026844996051478276
23,T2_RADIOMICS_glcm_ClusterShade,0.002654979738436758
16,T2_RADIOMICS_glcm_Contrast,0.002417702031278779
10,T1_RADIOMICS_glcm_JointEntropy,0.002181784582822477
20,T2_RADIOMICS_glcm_JointEnergy,0.0014492742332481434
