LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.35772226115292016
Amygdala;DICE;STD;0.055967102138656584
Amygdala;HDRFDST;MEAN;12.154181184298782
Amygdala;HDRFDST;STD;1.2553404873728455
GreyMatter;DICE;MEAN;0.7068226637280879
GreyMatter;DICE;STD;0.015091957889691317
GreyMatter;HDRFDST;MEAN;2.442134217207811
GreyMatter;HDRFDST;STD;0.6602881682589727
Hippocampus;DICE;MEAN;0.2771468367268712
Hippocampus;DICE;STD;0.036299369795545135
Hippocampus;HDRFDST;MEAN;16.13190272604012
Hippocampus;HDRFDST;STD;1.2496857355268887
Thalamus;DICE;MEAN;0.5911254977891052
Thalamus;DICE;STD;0.03582389565364737
Thalamus;HDRFDST;MEAN;14.603965695140323
Thalamus;HDRFDST;STD;2.6877845849629938
WhiteMatter;DICE;MEAN;0.8066055415613865
WhiteMatter;DICE;STD;0.03036851828665531
WhiteMatter;HDRFDST;MEAN;3.5716008131961656
WhiteMatter;HDRFDST;STD;0.7704983005669052
