feature_index,feature_name,MI_score
2,ATLAS_COORD_Z,0.7668161537218545
0,ATLAS_COORD_X,0.5557921998043531
1,ATLAS_COORD_Y,0.5542193609379953
3,T1_INTENSITY,0.5449927635791119
4,T2_INTENSITY,0.5186737471359402
6,T2_GRADIENT,0.34159105366123566
5,T1_GRADIENT,0.3038204057914995
13,T2_RADIOMICS_glrlm_GrayLevelNonUniformity,0.005365771216678805
12,T2_RADIOMICS_glrlm_LongRunEmphasis,0.004147495015400349
11,T2_RADIOMICS_glrlm_ShortRunEmphasis,0.0038087295479676264
14,T2_RADIOMICS_glrlm_RunEntropy,0.003589446566568899
10,T1_RADIOMICS_glrlm_RunEntropy,0.0032557012072160774
7,T1_RADIOMICS_glrlm_ShortRunEmphasis,0.003211403315429351
9,T1_RADIOMICS_glrlm_GrayLevelNonUniformity,0.002507049845536624
8,T1_RADIOMICS_glrlm_LongRunEmphasis,0.002063727930989856
