feature_index,feature_name,MI_score
2,ATLAS_COORD_Z,0.765876973134074
0,ATLAS_COORD_X,0.5557033813748142
1,ATLAS_COORD_Y,0.5531384897907368
3,T1_INTENSITY,0.5461680728501659
4,T2_INTENSITY,0.5195986143543165
6,T2_GRADIENT,0.3413435616093121
5,T1_GRADIENT,0.30473386158681093
9,T1_RADIOMICS_glszm_ZoneEntropy,0.005379711734061932
11,T2_RADIOMICS_glszm_SmallAreaEmphasis,0.0038500311119316066
10,T1_RADIOMICS_glszm_ZoneVariance,0.003183038727477605
12,T2_RADIOMICS_glszm_LargeAreaEmphasis,0.0029690643679103346
8,T1_RADIOMICS_glszm_LargeAreaEmphasis,0.00279805559909585
7,T1_RADIOMICS_glszm_SmallAreaEmphasis,0.002652021698423379
13,T2_RADIOMICS_glszm_ZoneEntropy,0.00252256070033674
14,T2_RADIOMICS_glszm_ZoneVariance,0.0014919956550909497
