feature_index,feature_name,MI_score
2,ATLAS_COORD_Z,0.7650784336725893
1,ATLAS_COORD_Y,0.5560918340649819
0,ATLAS_COORD_X,0.5538656163528108
3,T1_INTENSITY,0.5457295531467499
4,T2_INTENSITY,0.5189072551550642
6,T2_GRADIENT,0.3404042903299538
5,T1_GRADIENT,0.30449302998159045
13,T2_RADIOMICS_ngtdm_Contrast,0.004753330125863542
7,T1_RADIOMICS_ngtdm_Coarseness,0.004630617545702265
16,T2_RADIOMICS_ngtdm_Strength,0.004120226968162832
12,T2_RADIOMICS_ngtdm_Coarseness,0.0038968107120815887
9,T1_RADIOMICS_ngtdm_Busyness,0.0038359233001985515
15,T2_RADIOMICS_ngtdm_Complexity,0.0033223294322888286
10,T1_RADIOMICS_ngtdm_Complexity,0.0033209749798546184
11,T1_RADIOMICS_ngtdm_Strength,0.0031935357780943363
14,T2_RADIOMICS_ngtdm_Busyness,0.0029144421743811932
8,T1_RADIOMICS_ngtdm_Contrast,0.002889673296210482
