LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.3623558169559164
Amygdala;DICE;STD;0.05354967059456919
Amygdala;HDRFDST;MEAN;12.032856673263549
Amygdala;HDRFDST;STD;1.3078074325744187
GreyMatter;DICE;MEAN;0.7055366790719517
GreyMatter;DICE;STD;0.012535240660704106
GreyMatter;HDRFDST;MEAN;2.3505660549686818
GreyMatter;HDRFDST;STD;0.4741721430334846
Hippocampus;DICE;MEAN;0.2708687098703234
Hippocampus;DICE;STD;0.035126876604579554
Hippocampus;HDRFDST;MEAN;16.4788475322877
Hippocampus;HDRFDST;STD;0.9734392675537488
Thalamus;DICE;MEAN;0.5899905023534422
Thalamus;DICE;STD;0.038281583196055735
Thalamus;HDRFDST;MEAN;13.26481013978425
Thalamus;HDRFDST;STD;2.853911693706898
WhiteMatter;DICE;MEAN;0.801266841799858
WhiteMatter;DICE;STD;0.03010104889467896
WhiteMatter;HDRFDST;MEAN;3.672061636496916
WhiteMatter;HDRFDST;STD;1.0324550052024497
