LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.36053301582980163
Amygdala;DICE;STD;0.05480027088480773
Amygdala;HDRFDST;MEAN;11.983955211558657
Amygdala;HDRFDST;STD;1.1978386733429887
GreyMatter;DICE;MEAN;0.7069026189557668
GreyMatter;DICE;STD;0.015084065911918586
GreyMatter;HDRFDST;MEAN;2.32080461848676
GreyMatter;HDRFDST;STD;0.46245640098340624
Hippocampus;DICE;MEAN;0.28457376691682146
Hippocampus;DICE;STD;0.037764972941085384
Hippocampus;HDRFDST;MEAN;15.611681008840744
Hippocampus;HDRFDST;STD;1.129343206559141
Thalamus;DICE;MEAN;0.5836317374881673
Thalamus;DICE;STD;0.03501939734672196
Thalamus;HDRFDST;MEAN;14.25219955498171
Thalamus;HDRFDST;STD;2.602846104743656
WhiteMatter;DICE;MEAN;0.8010262813109128
WhiteMatter;DICE;STD;0.03971902690018429
WhiteMatter;HDRFDST;MEAN;3.2555232011567825
WhiteMatter;HDRFDST;STD;0.6719886061012469
