feature_index,feature_name,MI_score
2,ATLAS_COORD_Z,0.7664339687943917
0,ATLAS_COORD_X,0.554741148196054
1,ATLAS_COORD_Y,0.5541369021424272
3,T1_INTENSITY,0.5445160036305798
4,T2_INTENSITY,0.5182838722954826
6,T2_GRADIENT,0.339592001966865
5,T1_GRADIENT,0.3036826096245875
10,T1_RADIOMICS_first_order_Skewness,0.004961716873452371
7,T1_RADIOMICS_first_order_Mean,0.00429012937521378
14,T2_RADIOMICS_first_order_Mean,0.0041801907160619045
19,T2_RADIOMICS_first_order_Energy,0.003833550075936998
15,T2_RADIOMICS_first_order_Median,0.003629078613891057
18,T2_RADIOMICS_first_order_Kurtosis,0.003609264817097113
8,T1_RADIOMICS_first_order_Median,0.003461381678191433
17,T2_RADIOMICS_first_order_Skewness,0.003454618455971392
11,T1_RADIOMICS_first_order_Kurtosis,0.0034396310675708364
9,T1_RADIOMICS_first_order_Variance,0.003279094156698914
13,T1_RADIOMICS_first_order_Entropy,0.0032296298762433118
12,T1_RADIOMICS_first_order_Energy,0.0030892033216520787
16,T2_RADIOMICS_first_order_Variance,0.002907676313723684
20,T2_RADIOMICS_first_order_Entropy,0.0025621087719676083
