feature_index,feature_name,MI_score
2,ATLAS_COORD_Z,0.7670704517946891
1,ATLAS_COORD_Y,0.5553075350344205
0,ATLAS_COORD_X,0.5548629107134486
3,T1_INTENSITY,0.5478638689651072
4,T2_INTENSITY,0.5195733297356819
6,T2_GRADIENT,0.34186619594073875
5,T1_GRADIENT,0.3040037144105443
8,T1_RADIOMICS_gldm_DependenceEntropy,0.003906866219008709
7,T1_RADIOMICS_gldm_DependenceNonUniformity,0.003596883403226059
12,T2_RADIOMICS_gldm_GrayLevelVariance,0.0032099153676803382
11,T2_RADIOMICS_gldm_DependenceEntropy,0.0030493606606620816
9,T1_RADIOMICS_gldm_GrayLevelVariance,0.002905275226503523
10,T2_RADIOMICS_gldm_DependenceNonUniformity,0.0019934533653427344
