LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.35667895606805083
Amygdala;DICE;STD;0.05432093710071399
Amygdala;HDRFDST;MEAN;12.237589823575648
Amygdala;HDRFDST;STD;1.2415294237019914
GreyMatter;DICE;MEAN;0.7057840056626974
GreyMatter;DICE;STD;0.012708661968360967
GreyMatter;HDRFDST;MEAN;2.37134462410543
GreyMatter;HDRFDST;STD;0.47615614427021485
Hippocampus;DICE;MEAN;0.27355692001060017
Hippocampus;DICE;STD;0.03664972724664369
Hippocampus;HDRFDST;MEAN;16.78049701727519
Hippocampus;HDRFDST;STD;1.8069089222255654
Thalamus;DICE;MEAN;0.5854381199133827
Thalamus;DICE;STD;0.0396012796888845
Thalamus;HDRFDST;MEAN;15.751296770197806
Thalamus;HDRFDST;STD;2.949008317580028
WhiteMatter;DICE;MEAN;0.8018693720540483
WhiteMatter;DICE;STD;0.03220552523403249
WhiteMatter;HDRFDST;MEAN;3.411744021139983
WhiteMatter;HDRFDST;STD;0.8426165997745219
