SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.3292558613659531;13.892443989449804
117122;GreyMatter;0.7030200597280013;2.23606797749979
117122;Hippocampus;0.31984927407735786;16.30950643030009
117122;Thalamus;0.5729656342808656;17.46424919657298
117122;WhiteMatter;0.8213068252392436;3.3166247903554
117122-PP;Amygdala;0.2667914327302974;14.560219778561036
117122-PP;GreyMatter;0.7028684207688187;2.23606797749979
117122-PP;Hippocampus;0.24862584135822846;16.278820596099706
117122-PP;Thalamus;0.5805542839032292;12.68857754044952
117122-PP;WhiteMatter;0.821585792571092;3.0
118528;Amygdala;0.3630743869771276;15.7797338380595
118528;GreyMatter;0.6931541304954454;2.0
118528;Hippocampus;0.3106005155459377;22.360679774997898
118528;Thalamus;0.5607447537206551;17.146428199482248
118528;WhiteMatter;0.7289337934357707;5.0
118528-PP;Amygdala;0.2882823990848178;16.76305461424021
118528-PP;GreyMatter;0.6920615850712355;2.0
118528-PP;Hippocampus;0.2413924595608586;25.099800796022265
118528-PP;Thalamus;0.5809537708161048;15.264337522473747
118528-PP;WhiteMatter;0.730143266612033;4.242640687119285
118730;Amygdala;0.38906616894454815;11.575836902790225
118730;GreyMatter;0.7138167001854415;2.23606797749979
118730;Hippocampus;0.2971603335763438;15.165750888103101
118730;Thalamus;0.5292593697498783;18.681541692269406
118730;WhiteMatter;0.8012697571623518;3.0
118730-PP;Amygdala;0.31832512315270933;11.789826122551595
118730-PP;GreyMatter;0.7132788415862668;2.23606797749979
118730-PP;Hippocampus;0.23632697639250608;16.0312195418814
118730-PP;Thalamus;0.5453447375293811;17.378147196982766
118730-PP;WhiteMatter;0.802138921705668;3.0
118932;Amygdala;0.3748664781652529;12.409673645990857
118932;GreyMatter;0.7228145392812538;2.23606797749979
118932;Hippocampus;0.3093254357638579;14.52583904633395
118932;Thalamus;0.5980496625657916;15.620499351813308
118932;WhiteMatter;0.8082777654050891;4.242640687119285
118932-PP;Amygdala;0.3024068913098556;12.36931687685298
118932-PP;GreyMatter;0.7220143570566473;2.23606797749979
118932-PP;Hippocampus;0.2408398746290184;15.297058540778355
118932-PP;Thalamus;0.610179120438444;14.212670403551895
118932-PP;WhiteMatter;0.8085718919795637;3.605551275463989
120111;Amygdala;0.4099812528282371;9.433981132056603
120111;GreyMatter;0.7127544820241135;2.23606797749979
120111;Hippocampus;0.312291515591008;17.378147196982766
120111;Thalamus;0.5442543696541465;16.55294535724685
120111;WhiteMatter;0.8167231845981184;2.23606797749979
120111-PP;Amygdala;0.3352552234858503;9.848857801796104
120111-PP;GreyMatter;0.7120844323960253;2.23606797749979
120111-PP;Hippocampus;0.2403824772070269;17.378147196982766
120111-PP;Thalamus;0.5571798459336453;15.297058540778355
120111-PP;WhiteMatter;0.8159093533440348;2.23606797749979
122317;Amygdala;0.4437840515106488;12.569805089976535
122317;GreyMatter;0.7182871499298012;2.0
122317;Hippocampus;0.29931457718976645;15.7797338380595
122317;Thalamus;0.5705968490323036;14.594519519326424
122317;WhiteMatter;0.7952386659998595;3.7416573867739413
122317-PP;Amygdala;0.361614640644003;12.529964086141668
122317-PP;GreyMatter;0.717803660812461;2.0
122317-PP;Hippocampus;0.23346707144055773;16.401219466856727
122317-PP;Thalamus;0.5859174420510206;11.445523142259598
122317-PP;WhiteMatter;0.7951330981197654;3.605551275463989
122620;Amygdala;0.4411820781696854;12.569805089976535
122620;GreyMatter;0.7191274796278839;3.0
122620;Hippocampus;0.31720118605364506;17.029386365926403
122620;Thalamus;0.6032234085687255;13.74772708486752
122620;WhiteMatter;0.8176006144179848;2.8284271247461903
122620-PP;Amygdala;0.3649009046697694;12.449899597988733
122620-PP;GreyMatter;0.7188388732538574;3.0
122620-PP;Hippocampus;0.24622070055306822;17.320508075688775
122620-PP;Thalamus;0.6170112535985344;11.180339887498949
122620-PP;WhiteMatter;0.8182931071993969;2.23606797749979
123117;Amygdala;0.3573111070846168;12.041594578792296
123117;GreyMatter;0.6847731500114214;3.7416573867739413
123117;Hippocampus;0.268494646486093;16.76305461424021
123117;Thalamus;0.51471257282907;18.411952639521967
123117;WhiteMatter;0.8513518840035662;3.605551275463989
123117-PP;Amygdala;0.2906605026311907;12.206555615733702
123117-PP;GreyMatter;0.6844496797829185;3.3166247903554
123117-PP;Hippocampus;0.21914796378413764;17.0
123117-PP;Thalamus;0.5300880626223092;17.349351572897472
123117-PP;WhiteMatter;0.8516572226009118;2.23606797749979
123925;Amygdala;0.37496688741721856;12.529964086141668
123925;GreyMatter;0.7069991378718169;2.0
123925;Hippocampus;0.3130835455317085;16.911534525287763
123925;Thalamus;0.6152434628743693;15.0
123925;WhiteMatter;0.8137076569310498;3.605551275463989
123925-PP;Amygdala;0.3049973132724342;12.409673645990857
123925-PP;GreyMatter;0.7066209036946779;2.23606797749979
123925-PP;Hippocampus;0.2461146910705583;17.029386365926403
123925-PP;Thalamus;0.6293498284574692;13.0
123925-PP;WhiteMatter;0.8141298910277585;3.0
124422;Amygdala;0.4627565239422346;12.083045973594572
124422;GreyMatter;0.698554822612696;2.0
124422;Hippocampus;0.3105418159883618;18.138357147217054
124422;Thalamus;0.6371820520148614;12.449899597988733
124422;WhiteMatter;0.7693254892491007;4.47213595499958
124422-PP;Amygdala;0.37630268494275887;11.045361017187261
124422-PP;GreyMatter;0.697980185807185;2.0
124422-PP;Hippocampus;0.24173258624478136;19.339079605813716
124422-PP;Thalamus;0.656164484875379;11.357816691600547
124422-PP;WhiteMatter;0.7694800445369969;4.123105625617661
