feature_index,feature_name,MI_score
2,ATLAS_COORD_Z,0.7666266506921282
0,ATLAS_COORD_X,0.5545339041126085
1,ATLAS_COORD_Y,0.5541624181372604
3,T1_INTENSITY,0.544186449215385
4,T2_INTENSITY,0.519085028729094
6,T2_GRADIENT,0.34158730309829277
5,T1_GRADIENT,0.304328561700447
16,T2_RADIOMICS_ngtdm_Strength,0.00462818619671479
8,T1_RADIOMICS_ngtdm_Contrast,0.004385123041160899
12,T2_RADIOMICS_ngtdm_Coarseness,0.004324721350441596
15,T2_RADIOMICS_ngtdm_Complexity,0.0036642582697017367
13,T2_RADIOMICS_ngtdm_Contrast,0.0035314234272068035
9,T1_RADIOMICS_ngtdm_Busyness,0.0033989575627453306
11,T1_RADIOMICS_ngtdm_Strength,0.0029486964252050107
7,T1_RADIOMICS_ngtdm_Coarseness,0.0027672131458689186
14,T2_RADIOMICS_ngtdm_Busyness,0.0024566081639658677
10,T1_RADIOMICS_ngtdm_Complexity,0.0023658908291448455
