LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.353621031983359
Amygdala;DICE;STD;0.054390521040724955
Amygdala;HDRFDST;MEAN;12.93498196920044
Amygdala;HDRFDST;STD;1.3365034442378354
GreyMatter;DICE;MEAN;0.7060744400229916
GreyMatter;DICE;STD;0.013699217374432911
GreyMatter;HDRFDST;MEAN;2.42080461848676
GreyMatter;HDRFDST;STD;0.4895967719595107
Hippocampus;DICE;MEAN;0.2707855777321655
Hippocampus;DICE;STD;0.03466589276186774
Hippocampus;HDRFDST;MEAN;17.6535939693753
Hippocampus;HDRFDST;STD;1.703120654691276
Thalamus;DICE;MEAN;0.579817738601572
Thalamus;DICE;STD;0.039462743729960975
Thalamus;HDRFDST;MEAN;18.21068204394433
Thalamus;HDRFDST;STD;3.9078202996508793
WhiteMatter;DICE;MEAN;0.8043559308806019
WhiteMatter;DICE;STD;0.031498342390487766
WhiteMatter;HDRFDST;MEAN;3.4092130209101597
WhiteMatter;HDRFDST;STD;0.8527992601173057
