feature_index,feature_name,MI_score
2,ATLAS_COORD_Z,0.7647441969965751
0,ATLAS_COORD_X,0.5549847196991622
1,ATLAS_COORD_Y,0.554495408053082
3,T1_INTENSITY,0.5455083937393221
4,T2_INTENSITY,0.5198452497658119
6,T2_GRADIENT,0.3409569801399499
5,T1_GRADIENT,0.3029820536771499
14,T2_RADIOMICS_first_order_Mean,0.004307948410985141
13,T1_RADIOMICS_first_order_Entropy,0.0038432125407057427
12,T1_RADIOMICS_first_order_Energy,0.0038410364014795917
10,T1_RADIOMICS_first_order_Skewness,0.003787312566347012
19,T2_RADIOMICS_first_order_Energy,0.003687392296449765
18,T2_RADIOMICS_first_order_Kurtosis,0.0036620016775490427
7,T1_RADIOMICS_first_order_Mean,0.003457409199488115
11,T1_RADIOMICS_first_order_Kurtosis,0.003418683651023713
17,T2_RADIOMICS_first_order_Skewness,0.0034124541516464824
8,T1_RADIOMICS_first_order_Median,0.0033853696818719747
15,T2_RADIOMICS_first_order_Median,0.0030628787790760725
20,T2_RADIOMICS_first_order_Entropy,0.0030481672999869147
9,T1_RADIOMICS_first_order_Variance,0.002917913130363381
16,T2_RADIOMICS_first_order_Variance,0.002878780503783318
