LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.34775570248511734
Amygdala;DICE;STD;0.054372770933415304
Amygdala;HDRFDST;MEAN;13.819161266896293
Amygdala;HDRFDST;STD;1.5266898439150218
GreyMatter;DICE;MEAN;0.7045496229854893
GreyMatter;DICE;STD;0.012524536787370312
GreyMatter;HDRFDST;MEAN;2.4542610002644665
GreyMatter;HDRFDST;STD;0.4202415288627006
Hippocampus;DICE;MEAN;0.25391094968931854
Hippocampus;DICE;STD;0.03328939998771851
Hippocampus;HDRFDST;MEAN;21.080544415911326
Hippocampus;HDRFDST;STD;3.1242034390848854
Thalamus;DICE;MEAN;0.5359536411388817
Thalamus;DICE;STD;0.045732827354715656
Thalamus;HDRFDST;MEAN;22.962232542661116
Thalamus;HDRFDST;STD;6.351053192719688
WhiteMatter;DICE;MEAN;0.8037319923532159
WhiteMatter;DICE;STD;0.030721028564816292
WhiteMatter;HDRFDST;MEAN;3.2458563562901235
WhiteMatter;HDRFDST;STD;0.7512765897663798
