LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.35148589557762
Amygdala;DICE;STD;0.05695512379145863
Amygdala;HDRFDST;MEAN;13.346927197014901
Amygdala;HDRFDST;STD;1.6154053353830153
GreyMatter;DICE;MEAN;0.701259865740868
GreyMatter;DICE;STD;0.012001441455844784
GreyMatter;HDRFDST;MEAN;2.4735287870859857
GreyMatter;HDRFDST;STD;0.36284340900302037
Hippocampus;DICE;MEAN;0.24776229957429852
Hippocampus;DICE;STD;0.03286067071241493
Hippocampus;HDRFDST;MEAN;21.88932727583968
Hippocampus;HDRFDST;STD;3.026111599260872
Thalamus;DICE;MEAN;0.5067953077332391
Thalamus;DICE;STD;0.035025321139827884
Thalamus;HDRFDST;MEAN;31.106195871191517
Thalamus;HDRFDST;STD;5.254005940524616
WhiteMatter;DICE;MEAN;0.8065612789935555
WhiteMatter;DICE;STD;0.027910189027647556
WhiteMatter;HDRFDST;MEAN;2.928384749340731
WhiteMatter;HDRFDST;STD;0.5239873660963827
