LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.34428805449968714
Amygdala;DICE;STD;0.05670711319640092
Amygdala;HDRFDST;MEAN;13.460112101650248
Amygdala;HDRFDST;STD;0.8218164095517795
GreyMatter;DICE;MEAN;0.6989556978519791
GreyMatter;DICE;STD;0.012102522758202512
GreyMatter;HDRFDST;MEAN;2.4857614213558983
GreyMatter;HDRFDST;STD;0.4135095598637429
Hippocampus;DICE;MEAN;0.2345526316520204
Hippocampus;DICE;STD;0.03270915628835088
Hippocampus;HDRFDST;MEAN;25.325910498259585
Hippocampus;HDRFDST;STD;2.4491340171874567
Thalamus;DICE;MEAN;0.5042056989638748
Thalamus;DICE;STD;0.040395692535721485
Thalamus;HDRFDST;MEAN;32.11359283843157
Thalamus;HDRFDST;STD;6.776219816936036
WhiteMatter;DICE;MEAN;0.8043771768919405
WhiteMatter;DICE;STD;0.030744520485063306
WhiteMatter;HDRFDST;MEAN;3.0940888614814996
WhiteMatter;HDRFDST;STD;0.613688941774347
